Project Name,Funding,Votes
Dev3pack - Privacy Bootcamp,6.4368,475
WORM,6.3313,471
Privote,2.6256,303
ZKPassport,1.4445,225
Fluidkey,1.2052,206
ETH Daily,1.0863,196
rotki,1.0257,190
DAVINCI by Vocdoni,0.9038,180
0xbow,0.8603,175
Blocktrend.today,0.8433,174
Bhutan National Digital Identity,0.7644,165
Joshua Davila,0.7504,164
ZK Email,0.7183,159
Pairwise,0.6845,157
Aragon,0.6726,155
BeYou,0.5859,146
Anyone Protocol,0.578,145
Womxn in Web 3 Privacy Now (WinPrivacy),0.5844,144
Tor,0.5862,144
90 seconds to crypto,0.5692,143
Azguard wallet,0.5462,141
Funding the Commons,0.5139,135
Fluton,0.4631,130
Walletbeat,0.3656,114
Shielded Voting. Privacy-Preserving On-Chain Governance (Shutter Network),0.3261,108
Enclave,0.2983,104
zkMonk,0.2839,102
Invisible Garden,0.2741,99
Curvy Protocol,0.22,90
Noir Playground,0.2117,87
Mirage,0.2066,86
LibertAI,0.1904,84
Canary,0.1459,73
LunarDAO,0.1485,73
DappLearning,0.1302,69
warptoad,0.1116,64
Aztec Anonymous Messenger (AAM),0.1062,62
CuraAI,0.0863,57
ZK Protocol,0.0863,56
KOKI'O,0.0763,53
Eastore,0.075,53
Privacy Pool Paymaster,0.0708,51
Have I Been Rekt - Onchain + Offchain OSINT Automation,0.0672,50
zeroledger,0.0653,50
Incendia,0.0622,49
PrivID: Open Network Node for Identity Verification,0.0573,46
BackupBuddy,0.0531,45
UNIQ ID,0.049,43
Openbands,0.0465,42
Blanksquare,0.0435,42
Xythum,0.0435,42
Obscura,0.0483,42
Nymph,0.0418,40
Shinobi.Cash,0.0395,39
Haven,0.039,38
"VERA-SNARK: Privacy-Preserving, Verifiable Cross-Border Health Data Exchange Using zkSNARKs and FHIR R5",0.0346,36
Map3: ZK-Powered Private Reporting & Governance,0.0351,36
Session,0.0296,33
ZkDNS,0.0292,33
Cryptography Dojo,0.0242,32
zkProofport,0.0266,32
NØNOS,0.0224,31
Vector Privacy,0.0227,30
Tongo,0.0219,29
zkETHer,0.0216,29
Zikuani,0.0194,28
Noirlings.app,0.0191,27
Hinkal,0.0193,27
ZK for the regular people,0.0176,26
Obscura,0.0178,26
The Forus,0.0179,26
CrowdWisdom,0.0163,25
ZkFOCIL: Making FOCIL Private,0.0152,24
Conspire,0.0153,24
PolyPay,0.0142,23
DASHI,0.0139,23
Hup,0.012,22
Confidential Transfers and Balances,0.0115,21
Rankify - delegated democracy on steroids,0.0114,21
VIMz (Verifiable Image Manipulation via ZKP),0.0106,20
Nihilium,0.0101,20
Zenie,0.0067,16
ZK Arabia,0.0049,14
"Eppie: p2p email that connects Ethereum, Gmail and more ü¶Ñ",0.0052,14
Meetwith,0.005,14
Legum Privacy Guard AI,0.0049,14
HiddenPay,0.0045,13
ZK-Cards game,0.0043,13
Keypo,0.0037,12
Sozu Capital,0.0023,10
Project Glitch,0.0026,10
The Bubble by Soda Labs,0.002,9
WoCo,0.0016,8